time (ms)	x_pos(mm)	signal	error	trash	trash2
1250 	-2.79000000E-3	9.84286493E+0	4.55910730E-1	NaN	0.00000000E+0
1250 	1.05183192E+0	2.05220084E-1	1.21223048E-1	NaN	0.00000000E+0
1250 	-3.02715046E-1	6.01534422E+0	1.06537778E+0	NaN	0.00000000E+0
1250 	-9.01171205E-1	3.12969342E-1	1.50111377E-1	NaN	0.00000000E+0
1250 	-7.47720688E-1	3.45537005E-1	1.08859703E-1	NaN	0.00000000E+0
1250 	9.02566210E-1	5.59723440E-1	7.03655111E-2	NaN	0.00000000E+0
1250 	-6.02640360E-1	1.55891370E+0	3.97447381E-1	NaN	0.00000000E+0
1250 	-1.05183192E+0	1.29400921E-1	7.05248750E-2	NaN	0.00000000E+0
1250 	4.53375153E-1	3.81561658E+0	4.61812681E-1	NaN	0.00000000E+0
1250 	6.02640360E-1	2.25052314E+0	3.53045088E-1	NaN	0.00000000E+0
1250 	-1.53450006E-1	8.21968973E+0	4.89254989E-1	NaN	0.00000000E+0
1250 	1.53450006E-1	7.93959898E+0	6.36604769E-1	NaN	0.00000000E+0
1250 	7.53300704E-1	5.67125881E-1	2.34026443E-1	NaN	0.00000000E+0
1250 	-4.50585151E-1	2.44154148E+0	5.97541957E-1	NaN	0.00000000E+0
1250 	3.02715046E-1	6.31022261E+0	3.51278720E-1	NaN	0.00000000E+0
1450 	-1.05322692E+0	9.94884278E-2	2.65678916E-2	NaN	0.00000000E+0
1450 	6.02640360E-1	1.46117535E+0	3.13552008E-1	NaN	0.00000000E+0
1450 	7.53300704E-1	8.58688466E-1	4.24845149E-1	NaN	0.00000000E+0
1450 	-6.02640360E-1	6.99937076E-1	2.25742013E-1	NaN	0.00000000E+0
1450 	3.02715046E-1	5.43184673E+0	8.69429049E-1	NaN	0.00000000E+0
1450 	1.47870005E-1	7.81464354E+0	7.62629701E-1	NaN	0.00000000E+0
1450 	4.53375153E-1	3.29784276E+0	3.25568060E-1	NaN	0.00000000E+0
1450 	-4.51980152E-1	1.96578499E+0	3.66745335E-1	NaN	0.00000000E+0
1450 	2.79000000E-3	8.24359575E+0	4.08025448E-1	NaN	0.00000000E+0
1450 	-3.01320045E-1	3.57018671E+0	2.90488163E-1	NaN	0.00000000E+0
1450 	9.02566210E-1	4.00022578E-1	1.15555938E-1	NaN	0.00000000E+0
1450 	1.05322692E+0	7.26843802E-2	3.71595744E-2	NaN	0.00000000E+0
1450 	-7.51905700E-1	2.93089308E-1	6.34953716E-2	NaN	0.00000000E+0
1450 	-9.01171205E-1	8.29157053E-2	3.13467866E-2	NaN	0.00000000E+0
1450 	-1.49265005E-1	6.59473496E+0	7.12626619E-1	NaN	0.00000000E+0
190 	-1.35175907E+0	1.65204738E-1	1.41138588E-1	NaN	0.00000000E+0
190 	-1.50102557E+0	3.56968369E-1	2.56125049E-2	NaN	0.00000000E+0
190 	1.52055006E-1	3.24878909E+1	6.86031802E-1	NaN	0.00000000E+0
190 	-4.51980152E-1	1.44092834E+1	8.67458812E-1	NaN	0.00000000E+0
190 	-6.02640360E-1	7.39506982E+0	4.74612526E-1	NaN	0.00000000E+0
190 	-1.05322692E+0	1.33397974E+0	1.63477740E-1	NaN	0.00000000E+0
190 	3.01320045E-1	2.36704080E+1	1.58437058E+0	NaN	0.00000000E+0
190 	-1.39500000E-3	3.50985471E+1	3.24437444E+0	NaN	0.00000000E+0
190 	-7.53300704E-1	4.07201582E+0	7.77132729E-1	NaN	0.00000000E+0
190 	-2.97135043E-1	2.13279328E+1	2.02973229E+0	NaN	0.00000000E+0
190 	7.53300704E-1	6.06603792E+0	7.52598859E-1	NaN	0.00000000E+0
190 	-9.01171205E-1	2.24779586E+0	5.20564433E-1	NaN	0.00000000E+0
190 	6.02640360E-1	9.01262448E+0	9.75554744E-1	NaN	0.00000000E+0
190 	9.02566210E-1	2.56359278E+0	5.99827835E-1	NaN	0.00000000E+0
190 	-1.53450006E-1	3.03328547E+1	1.03690447E+0	NaN	0.00000000E+0
190 	1.50242058E+0	4.50084207E-1	1.92025871E-1	NaN	0.00000000E+0
190 	1.04764689E+0	2.19087591E+0	1.52951405E-1	NaN	0.00000000E+0
190 	-1.20249286E+0	5.75941633E-1	1.66270395E-1	NaN	0.00000000E+0
